RocksDB:    version 10.7.0
Date:       Thu Sep 11 12:25:07 2025
CPU:        48 * Intel(R) Xeon(R) Silver 4310 CPU @ 2.10GHz
CPUCache:   18432 KB
2025/09/11-12:37:38  ... thread 2: (1022000,28724000) ops and (34057.5,38285.3) ops/second in (30.008087,750.260965) seconds
2025/09/11-12:37:38  ... thread 0: (1017000,28411000) ops and (33877.4,37864.7) ops/second in (30.020008,750.329430) seconds
2025/09/11-12:37:38  ... thread 1: (1027000,28728000) ops and (34217.8,38286.2) ops/second in (30.013632,750.349356) seconds
2025/09/11-12:37:38  ... thread 3: (911000,28805000) ops and (30337.0,38387.7) ops/second in (30.029313,750.370586) seconds
2025/09/11-12:38:08  ... thread 2: (962000,29686000) ops and (32044.0,38045.2) ops/second in (30.021218,780.282183) seconds
2025/09/11-12:38:08  ... thread 0: (959000,29370000) ops and (31952.3,37637.3) ops/second in (30.013460,780.342890) seconds
2025/09/11-12:38:08  ... thread 1: (962000,29690000) ops and (32055.7,38046.6) ops/second in (30.010298,780.359654) seconds
2025/09/11-12:38:08  ... thread 3: (879000,29684000) ops and (29299.5,38038.3) ops/second in (30.000537,780.371123) seconds
2025/09/11-12:38:38  ... thread 2: (858000,30544000) ops and (28590.9,37695.1) ops/second in (30.009536,810.291719) seconds
2025/09/11-12:38:38  ... thread 0: (888000,30258000) ops and (29581.0,37338.9) ops/second in (30.019240,810.362130) seconds
2025/09/11-12:38:38  ... thread 1: (891000,30581000) ops and (29688.8,37737.0) ops/second in (30.011338,810.370992) seconds
2025/09/11-12:38:38  ... thread 3: (867000,30551000) ops and (28893.7,37699.7) ops/second in (30.006550,810.377673) seconds
2025/09/11-12:39:08  ... thread 2: (931000,31475000) ops and (31032.5,37457.2) ops/second in (30.000828,840.292547) seconds
2025/09/11-12:39:08  ... thread 1: (935000,31516000) ops and (31166.3,37502.5) ops/second in (30.000382,840.371374) seconds
2025/09/11-12:39:08  ... thread 0: (933000,31191000) ops and (31082.9,37115.4) ops/second in (30.016506,840.378636) seconds
2025/09/11-12:39:08  ... thread 3: (860000,31411000) ops and (28646.2,37376.3) ops/second in (30.021462,840.399135) seconds
