minute,hour,concurrent_compactions
1461,24.3500,29
1462,24.3667,25
1463,24.3833,27
1464,24.4000,27
1465,24.4167,27
1466,24.4333,27
1467,24.4500,25
1468,24.4667,26
1469,24.4833,27
1470,24.5000,29
1471,24.5167,24
1472,24.5333,24
1473,24.5500,27
1474,24.5667,24
1475,24.5833,28
1476,24.6000,28
1477,24.6167,23
1478,24.6333,25
1479,24.6500,24
1480,24.6667,25
1481,24.6833,26
1482,24.7000,25
1483,24.7167,25
1484,24.7333,25
1485,24.7500,24
1486,24.7667,26
1487,24.7833,27
1488,24.8000,27
1489,24.8167,25
1490,24.8333,25
1491,24.8500,25
1492,24.8667,24
1493,24.8833,27
1494,24.9000,27
1495,24.9167,23
1496,24.9333,27
1497,24.9500,25
1498,24.9667,25
1499,24.9833,25
1500,25.0000,24
1501,25.0167,25
1502,25.0333,26
1503,25.0500,23
1504,25.0667,23
1505,25.0833,28
1506,25.1000,24
1507,25.1167,25
1508,25.1333,26
1509,25.1500,26
1510,25.1667,24
1511,25.1833,25
1512,25.2000,26
1513,25.2167,28
1514,25.2333,26
1515,25.2500,26
1516,25.2667,24
1517,25.2833,25
1518,25.3000,27
1519,25.3167,25
1520,25.3333,26
1521,25.3500,24
1522,25.3667,23
1523,25.3833,27
1524,25.4000,25
1525,25.4167,24
1526,25.4333,24
1527,25.4500,26
1528,25.4667,24
1529,25.4833,28
1530,25.5000,29
1531,25.5167,27
1532,25.5333,24
1533,25.5500,29
1534,25.5667,26
1535,25.5833,25
1536,25.6000,26
1537,25.6167,25
1538,25.6333,26
1539,25.6500,24
1540,25.6667,26
1541,25.6833,26
1542,25.7000,29
1543,25.7167,26
1544,25.7333,25
1545,25.7500,28
1546,25.7667,26
1547,25.7833,26
1548,25.8000,27
1549,25.8167,26
1550,25.8333,23
1551,25.8500,26
1552,25.8667,23
1553,25.8833,25
1554,25.9000,23
1555,25.9167,26
1556,25.9333,28
1557,25.9500,25
1558,25.9667,26
1559,25.9833,23
1560,26.0000,26
1561,26.0167,27
1562,26.0333,25
1563,26.0500,25
1564,26.0667,23
1565,26.0833,25
1566,26.1000,25
1567,26.1167,26
1568,26.1333,24
1569,26.1500,26
1570,26.1667,27
1571,26.1833,25
1572,26.2000,25
1573,26.2167,27
1574,26.2333,24
1575,26.2500,22
1576,26.2667,24
1577,26.2833,27
1578,26.3000,29
1579,26.3167,26
1580,26.3333,25
1581,26.3500,27
1582,26.3667,25
1583,26.3833,25
1584,26.4000,26
1585,26.4167,27
1586,26.4333,25
1587,26.4500,26
1588,26.4667,26
1589,26.4833,24
1590,26.5000,26
1591,26.5167,26
1592,26.5333,26
1593,26.5500,26
1594,26.5667,26
1595,26.5833,28
1596,26.6000,24
1597,26.6167,26
1598,26.6333,25
1599,26.6500,23
1600,26.6667,26
1601,26.6833,26
1602,26.7000,27
1603,26.7167,25
1604,26.7333,25
1605,26.7500,28
1606,26.7667,27
1607,26.7833,28
1608,26.8000,27
1609,26.8167,25
1610,26.8333,27
1611,26.8500,26
1612,26.8667,25
1613,26.8833,25
1614,26.9000,26
1615,26.9167,24
1616,26.9333,26
1617,26.9500,26
1618,26.9667,27
1619,26.9833,25
1620,27.0000,24
1621,27.0167,24
1622,27.0333,26
1623,27.0500,28
1624,27.0667,27
1625,27.0833,25
1626,27.1000,24
1627,27.1167,24
1628,27.1333,30
1629,27.1500,25
1630,27.1667,25
1631,27.1833,23
1632,27.2000,26
1633,27.2167,28
1634,27.2333,26
1635,27.2500,27
1636,27.2667,26
1637,27.2833,25
1638,27.3000,28
1639,27.3167,25
1640,27.3333,27
1641,27.3500,28
1642,27.3667,28
1643,27.3833,26
1644,27.4000,26
1645,27.4167,27
1646,27.4333,25
1647,27.4500,25
1648,27.4667,26
1649,27.4833,25
1650,27.5000,26
1651,27.5167,25
1652,27.5333,29
1653,27.5500,27
1654,27.5667,24
1655,27.5833,27
1656,27.6000,25
1657,27.6167,24
1658,27.6333,25
1659,27.6500,23
1660,27.6667,23
1661,27.6833,26
1662,27.7000,23
1663,27.7167,24
1664,27.7333,24
1665,27.7500,26
1666,27.7667,25
1667,27.7833,27
1668,27.8000,26
1669,27.8167,26
1670,27.8333,25
1671,27.8500,25
1672,27.8667,24
1673,27.8833,23
1674,27.9000,24
1675,27.9167,27
1676,27.9333,24
1677,27.9500,24
1678,27.9667,24
1679,27.9833,26
1680,28.0000,25
1681,28.0167,25
1682,28.0333,27
1683,28.0500,26
1684,28.0667,26
1685,28.0833,24
1686,28.1000,25
1687,28.1167,26
1688,28.1333,23
1689,28.1500,26
1690,28.1667,27
1691,28.1833,24
1692,28.2000,24
1693,28.2167,23
1694,28.2333,25
1695,28.2500,23
1696,28.2667,25
1697,28.2833,25
1698,28.3000,26
1699,28.3167,24
1700,28.3333,24
1701,28.3500,27
1702,28.3667,24
1703,28.3833,26
1704,28.4000,24
1705,28.4167,23
1706,28.4333,28
1707,28.4500,27
1708,28.4667,25
1709,28.4833,24
1710,28.5000,25
1711,28.5167,24
1712,28.5333,23
1713,28.5500,25
1714,28.5667,27
1715,28.5833,24
1716,28.6000,26
1717,28.6167,25
1718,28.6333,25
1719,28.6500,24
1720,28.6667,26
1721,28.6833,25
1722,28.7000,25
1723,28.7167,25
1724,28.7333,28
1725,28.7500,22
1726,28.7667,26
1727,28.7833,24
1728,28.8000,26
1729,28.8167,24
1730,28.8333,26
1731,28.8500,25
1732,28.8667,26
1733,28.8833,28
1734,28.9000,24
1735,28.9167,24
1736,28.9333,27
1737,28.9500,25
1738,28.9667,24
